한페이지가될수있게,DAY6(데이식스),210.8
희재,성시경,210.5
memories,RIIZE,209.8
사랑의바보,제이세라(J-Cera),206.0
언젠간괜찮아질이야기,헤이즈(Heize),198.0
inbloom,ZEROBASEONE(제로베이스원),196.8
나의목소리로,김호중,195.2
드라마,아이유(IU),194.4
2002,Anne-Marie,193.2
오르트구름,윤하,191.4
미친사랑의노래,김연지(씨야),172.8
당신을만나,김호중,164.7
밤하늘의별을(2020),경서,162.0
lovingyougirl(feat.hkeem),PederElias,156.4
빛이나는사람,김호중,152.5
getaguitar,RIIZE,145.7
그대만있다면(여름날우리x너드커넥션(nerdconnection)),너드커넥션(NerdConnection),144.0
달빛에그려지는,미연((여자)아이들),143.8
오르트구름,윤하(Younha/ユンナ),142.6
불빛을꺼뜨리지마(timetoshine),H1-KEY(하이키),140.4
새삥(prod.byzico)(feat.호미들),지코(ZICO),138.0
트월ㅋ(prod.czaer),미연((여자)아이들),133.3
invu,태연(TAEYEON),130.2
오르트구름,윤하(YOUNHA),128.8
that'shilarious(explicitver.),CharliePuth,128.1
첫눈처럼너에게가겠다,에일리(Ailee),126.0
アイドル,YOASOBI,122.4
주마등,김호중,122.0
thirsty,aespa,120.9
neverendingstory,김민석(멜로망스),119.6
나의바람(windandwish),비투비,117.8
rollercoaster,NMIXX,114.9
인생은뷰티풀,김호중,109.8
"모든날,모든순간(everyday,everymoment)",폴킴(PaulKim),108.5
killin'megood,지효(TWICE),108.0
kool,포레스텔라(Forestella),102.3
사랑인가봐,멜로망스(Melomance),100.8
yogurtshake,NCTDREAM,98.4
사실말야내가말야그게그러니까말이야,케이시,96.1
약속[約束],김호중,91.5
내가아니라도,주호,85.7
lovemelikethis,NMIXX,83.4
dreamers(musicfromthefifaworldcupqatar2022officialsoundtrack)(feat.fifasound),정국&방탄소년단,82.8
offmyface,JustinBieber,73.6
친구,김호중,73.2
그댄행복에살텐데(2022),최유리,72.0
permissiontodance,방탄소년단,65.6
정이라고하자(feat.10cm),BIGNaughty(서동현),62.0
ilmarecalmodellasera,김호중,61.0
도깨비불(illusion),aespa,58.9
"애인이되어줄게요(prod.알고보니,혼수상태)",김호중,54.9
민들레(singlever.),우효(Oohyo),52.7
희재,이홍기(FT아일랜드),50.4
그런일은,PaulBlanco,43.4
happiness,"허용별(허각,신용재,임한별)",43.2
고맙소(orchestraver.),김호중,42.7
christian,ZiorPark,36.4
신호등,이무진,36.0
that’snothowthisworks(feat.dan+shay),CharliePuth,32.8
뭣같아,BOYNEXTDOOR,27.9
nightdancer,imase,25.2
hard,SHINee(샤이니),24.8
adoro,김호중,24.4
이것밖에는없다,YoungK(DAY6),21.7
새삥(prod.zico)(feat.호미들),지코(ZICO),21.6
poppy(koreanver.),STAYC(스테이씨),14.4
seven(feat.latto)-explicitver.,정국,12.4
나비(outro),김호중,12.2
vampire,OliviaRodrigo,10.8
여름날(feat.하현상),볼빨간사춘기,6.2
고백,멜로망스(Melomance),3.6
strawberrymoon,아이유(IU),3.1
